Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0;-0.229399994;-0.1382;0.682599962;0.733257325
0.009926563;-0.229399994;-0.1382;0.682599962;0.733257325
0.019853125;0.160400003;-0.571200013;-0.813699961;1.007027925
0.029779688;0.287599981;-0.66960001;-1.068499923;1.293356102
0.03970625;0.238499999;-0.826399982;-1.147099972;1.433756439
0.049632813;0.170299992;-0.806099951;-1.049299955;1.33410255
0.059557813;0.354399979;-0.795799971;-1.030499935;1.349380248
0.069484375;0.457099974;-0.928900003;-0.848199964;1.33837169
0.079410938;0.409999996;-1.003799915;-0.476599991;1.184424678
0.0893375;0.496299982;-0.98939997;-0.488899976;1.210061634
0.099264063;0.399800003;-0.967299998;-0.62650001;1.219840806
0.109190625;0.080200002;-0.872699976;-0.904699981;1.259571095
0.119115625;-0.218499988;-0.804199994;-1.254799962;1.506320955
0.129042188;-0.488999993;-0.856399953;-1.600999951;1.880357072
0.13896875;-0.869899988;-1.066799998;-1.449399948;1.998886799
0.148895313;-2.410199881;-1.714899898;-0.681699991;3.035565845
0.158821875;-2.141199827;-1.804399967;-1.478799939;3.166614154
0.168748438;-1.723999977;-1.728799939;-0.324900001;2.463023581
0.178675;-3.027899981;-1.775999904;-2.073899984;4.077182249
0.188601563;-2.252599955;-1.401899934;-4.067399979;4.856261172
0.198526563;0.150899991;-0.353399992;-4.289700031;4.30687691
0.208453125;0.128099993;-0.57190001;-4.46089983;4.499233993
0.218379688;3.538100004;-0.0149;-4.036299706;5.367503047
0.22830625;5.385799885;-0.378600001;-1.821799994;5.698169318
0.238232813;0.895299971;-2.709899902;0.293199986;2.868986886
0.248159375;0.2949;-2.990099907;0.0084;3.004618782
0.258084375;-0.47299999;-2.875599861;0.489899993;2.955132071
0.268010938;-0.681499958;-2.358999968;0.361299992;2.481906671
0.2779375;-0.825999975;-2.451599836;-0.311100006;2.605647891
0.287864063;-0.662499964;-2.320299864;-1.187699914;2.689484848
0.297790625;0.123299994;-1.942999959;-1.879299998;2.705960128
0.307715625;0.648000002;-1.760899901;-2.007200003;2.747639772
0.317642188;1.064499974;-1.866499901;-1.993699908;2.931180888
0.32756875;1.180599928;-2.08039999;-1.693399906;2.930782072
0.33749375;0.962199986;-2.043499947;-1.16929996;2.543419596
0.347421875;0.820800006;-1.88409996;-0.551100016;2.127735072
0.357348438;0.532099962;-1.91929996;-0.0788;1.993251652
0.367275;0.25999999;-1.922499895;0.082199998;1.941742177
0.3772;-0.230999991;-1.797099948;0.318299979;1.839631511
0.387126563;-0.098699994;-1.55369997;0.540600002;1.648021131
0.397053125;0.318800002;-1.433599949;0.318299979;1.502716584
0.406979688;1.378799915;-0.976999998;-1.594499946;2.323370026
0.41690625;2.388499975;-1.001099944;-3.359599829;4.241938736
0.426832813;2.598099947;-1.153999925;-3.259599924;4.3251394
0.436757813;2.272099972;-1.058399916;-2.052000046;3.239344509
0.446684375;1.622799993;-1.130299926;-0.750099957;2.115114107
0.456610938;0.969999969;-0.620999992;1.459299922;1.859058147
0.4665375;0.611000001;-1.587000012;3.051499844;3.493356743
0.476464063;-0.370399982;-1.6322999;2.476699829;2.989254281
0.486389063;0.114799999;-1.079299927;1.605599999;1.938045079
0.496315625;0.518899977;-1.09070003;1.252200007;1.739795563
0.50624375;-0.276800007;-1.08920002;1.59649992;1.95237981
0.51616875;-0.726999998;-0.487399995;2.36619997;2.522893191
0.526095313;-0.995499969;-0.482299984;1.979200006;2.267347817
0.536021875;-0.1219;-0.424699992;1.657299995;1.715188902
0.545946875;0.405900002;-0.484299988;1.795399904;1.903355486
0.555875;0.466799974;-0.402199984;2.136199951;2.223289741
0.5658;0.0154;-0.363499999;2.270499945;2.299465027
0.575726563;-0.421299994;-0.498199999;2.206399918;2.300847131
0.585653125;-0.7579;-0.593499959;2.246700048;2.444241338
0.595579688;-0.398999989;-0.557599962;1.771999955;1.900026987
0.60550625;-0.403200001;-0.726499975;2.084699869;2.244180474
0.61543125;-0.331;-0.797199965;3.242300034;3.355234461
0.625357813;0.3477;-0.422600001;3.514899969;3.557247228
0.635284375;1.133899927;-0.063199997;3.038899899;3.24416952
0.645210938;1.580500007;0.057399999;2.161399841;2.678231563
0.6551375;1.8125;0.292899996;1.29279995;2.245501808
0.665064063;1.533899903;0.386599988;0.922199965;1.831054679
0.674990625;1.213699937;0.493699998;0.617999971;1.448699827
0.684915625;1.146399975;0.429699987;0.645199955;1.383892323
0.694842188;1.138899922;0.342299998;0.841099977;1.456609589
0.70476875;1.085999966;0.127000004;1.111699939;1.559295251
0.714695313;1.134299994;0.116399996;1.443799973;1.839767321
0.724621875;0.848100007;0.040100001;1.393299937;1.631614644
0.734548438;0.703799963;-0.097999997;1.286000013;1.469263224
0.744473438;1.076799989;-0.037699997;1.458699942;1.813484223
0.7544;0.91869998;0.181799993;1.156899929;1.488448298
0.764326563;0.396299988;0.169;0.4199;0.601606757
0.774253125;0.673099995;0.134000003;0.344099998;0.767739808
0.784179688;0.138699993;0.0814;0.173099995;0.236277922
0.79410625;-0.114599995;0.170499995;0.666999996;0.697920054
0.804032813;-0.507200003;0.043499999;1.120000005;1.230261803
0.813957813;-0.475799978;0.124299996;1.319700003;1.408348041
0.823884375;-0.575500011;0.123899996;1.091699958;1.240306523
0.833810938;-0.381799996;0.186499998;0.928499997;1.021110048
0.8437375;-0.0933;0.278899997;0.83889997;0.888956275
0.853664063;0.023;0.121599995;0.997799993;1.005445366
0.863590625;0.572899997;0.047499999;1.184499979;1.316628595
0.873517188;0.816299975;0.135199994;0.801199973;1.151757823
0.883442188;0.337399989;0.269099981;0.341899991;0.550589826
0.89336875;-0.072799996;0.306400001;0.284799993;0.424607861
0.903295313;0.072999999;0.138699993;0.492699981;0.51702994
0.913221875;0.54519999;-0.064899996;1.016199946;1.155039986
0.923148438;0.79429996;-0.194600001;1.3671;1.593029817
0.933075;0.758599997;-0.391799986;1.412299991;1.650324952
0.943001563;0.346199989;-0.556499958;1.344900012;1.496095812
0.952926563;-0.082099997;-0.54460001;1.192099929;1.313176234
0.962853125;-0.323899984;-0.273000002;0.273599982;0.504278843
0.972779688;-0.169399992;0.178199992;-1.425999999;1.447040978
0.98270625;0.608999968;0.209899992;-2.768599987;2.842549007
0.992639063;0.987999976;0.100299999;-2.550299883;2.736829102
1.002559375;1.027699947;-0.187699988;-1.756599903;2.043781223
1.012484375;1.487200022;-0.387400001;-0.979699969;1.822540725
1.022410938;1.809399962;-1.279799938;-0.953399956;2.412630843
1.0323375;0.648499966;-0.694999993;-0.491899997;1.070300333
1.042264063;1.459100008;0.235599995;1.661599994;2.223824348
1.052190625;1.271099925;-1.227900028;0.58889997;1.862857126
1.062117188;3.448899984;-4.475999832;-0.299600005;5.658555095
1.07204375;-0.380699992;-1.622599959;-0.210299999;1.679877734
1.08196875;-0.869300008;0.78609997;-0.567699969;1.302274519
